"","Value","Tx_Prop","beta0","beta1","beta2","beta3"
"NoIntIPW",0.074,0.475,-0.5,-0.09,0.86,0.09
"ClusIPW",0.091,0.314,-0.52,0.63,-0.35,-0.46
"addIPW",0.141,0.211,-0.64,-0.18,0.66,-0.34
"Oracle",0.199,0.281,0,-0.16,0.08,-0.98
